Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENSMUSP00000000500	ENSMUST00000000500	ENSMUSG00000000489	Pdgfb
ENSMUSP00000000505	ENSMUST00000000505	ENSMUSG00000029730	Mcm7
ENSMUSP00000000514	ENSMUST00000000514	ENSMUSG00000026315	Serpinb8
ENSMUSP00000000542	ENSMUST00000000542	ENSMUSG00000000530	Acvrl1
ENSMUSP00000000543	ENSMUST00000000543	ENSMUSG00000000531	Grasp
ENSMUSP00000000544	ENSMUST00000000544	ENSMUSG00000000532	Acvr1b
ENSMUSP00000000572	ENSMUST00000000572	ENSMUSG00000000560	Gabra2
ENSMUSP00000000573	ENSMUST00000000573	ENSMUSG00000074340	Ovgp1
ENSMUSP00000000574	ENSMUST00000000574	ENSMUSG00000000562	Adora3
ENSMUSP00000000579	ENSMUST00000000579	ENSMUSG00000000567	Sox9
ENSMUSP00000000590	ENSMUST00000000590	ENSMUSG00000032050	Rdx
ENSMUSP00000000594	ENSMUST00000000594	ENSMUSG00000000581	C1d
ENSMUSP00000000608	ENSMUST00000000608	ENSMUSG00000000594	Gm2a
ENSMUSP00000000619	ENSMUST00000000619	ENSMUSG00000000605	Clcn4-2
ENSMUSP00000000631	ENSMUST00000000631	ENSMUSG00000000617	Grm6
ENSMUSP00000000632	ENSMUST00000000632	ENSMUSG00000044807	Zfp354c
ENSMUSP00000000641	ENSMUST00000000641	ENSMUSG00000000627	Sema4f
ENSMUSP00000000642	ENSMUST00000000642	ENSMUSG00000000628	Hk2
ENSMUSP00000000645	ENSMUST00000000645	ENSMUSG00000000631	Myo18a
ENSMUSP00000000646	ENSMUST00000000646	ENSMUSG00000000632	Sez6
ENSMUSP00000000674	ENSMUST00000000674	ENSMUSG00000029534	St7
ENSMUSP00000000687	ENSMUST00000000687	ENSMUSG00000000673	Haao
ENSMUSP00000000696	ENSMUST00000000696	ENSMUSG00000000682	Cd52
ENSMUSP00000000704	ENSMUST00000000704	ENSMUSG00000000690	Hoxb6
ENSMUSP00000000707	ENSMUST00000000707	ENSMUSG00000000693	Loxl3
ENSMUSP00000000717	ENSMUST00000000717	ENSMUSG00000000701	Tcl1b5
ENSMUSP00000000718	ENSMUST00000000718	ENSMUSG00000079007	Tcl1b4
ENSMUSP00000000724	ENSMUST00000000724	ENSMUSG00000000708	Kat2b
ENSMUSP00000000727	ENSMUST00000000727	ENSMUSG00000000711	Rab5b
ENSMUSP00000000746	ENSMUST00000000746	ENSMUSG00000000730	Dnmt3l
ENSMUSP00000000755	ENSMUST00000000755	ENSMUSG00000000739	Sult5a1
ENSMUSP00000000756	ENSMUST00000000756	ENSMUSG00000000740	Rpl13
ENSMUSP00000000759	ENSMUST00000000759	ENSMUSG00000000743	Chmp1a
ENSMUSP00000000767	ENSMUST00000000767	ENSMUSG00000000751	Rpa1
ENSMUSP00000000769	ENSMUST00000000769	ENSMUSG00000000753	Serpinf1
ENSMUSP00000000776	ENSMUST00000000776	ENSMUSG00000000759	Tubgcp3
ENSMUSP00000000783	ENSMUST00000000783	ENSMUSG00000000766	Oprm1
ENSMUSP00000000793	ENSMUST00000000793	ENSMUSG00000000776	Polr3d
ENSMUSP00000000804	ENSMUST00000000804	ENSMUSG00000000787	Ddx3x
ENSMUSP00000000808	ENSMUST00000000808	ENSMUSG00000000791	Il12rb1
ENSMUSP00000000809	ENSMUST00000000809	ENSMUSG00000000792	Slc5a5
ENSMUSP00000000811	ENSMUST00000000811	ENSMUSG00000000794	Kcnn3
ENSMUSP00000000821	ENSMUST00000000821	ENSMUSG00000000804	Usp32
ENSMUSP00000000828	ENSMUST00000000828	ENSMUSG00000000811	Txnrd3
ENSMUSP00000000834	ENSMUST00000000834	ENSMUSG00000000817	Fasl
ENSMUSP00000000844	ENSMUST00000000844	ENSMUSG00000000827	Tpd52l2
ENSMUSP00000000881	ENSMUST00000000881	ENSMUSG00000000861	Bcl11a
ENSMUSP00000000889	ENSMUST00000000889	ENSMUSG00000000869	Il4
ENSMUSP00000000894	ENSMUST00000000894	ENSMUSG00000027490	E2f1
ENSMUSP00000000895	ENSMUST00000000895	ENSMUSG00000027489	Necab3
ENSMUSP00000000896	ENSMUST00000000896	ENSMUSG00000000876	Pxmp4
ENSMUSP00000000901	ENSMUST00000000901	ENSMUSG00000000881	Dlg3
ENSMUSP00000000904	ENSMUST00000000904	ENSMUSG00000000884	Gnb1l
ENSMUSP00000000910	ENSMUST00000000910	ENSMUSG00000000889	Dbh
ENSMUSP00000000924	ENSMUST00000000924	ENSMUSG00000000901	Mmp11
ENSMUSP00000000925	ENSMUST00000000925	ENSMUSG00000000902	Smarcb1
ENSMUSP00000000926	ENSMUST00000000926	ENSMUSG00000000903	Vpreb3
ENSMUSP00000000939	ENSMUST00000000939	ENSMUSG00000000915	Hip1r
ENSMUSP00000000940	ENSMUST00000000940	ENSMUSG00000000916	Nsun5
ENSMUSP00000000958	ENSMUST00000000958	ENSMUSG00000000934	Top1mt
ENSMUSP00000000964	ENSMUST00000000964	ENSMUSG00000029844	Hoxa1
ENSMUSP00000000984	ENSMUST00000000984	ENSMUSG00000000958	Slc7a7
ENSMUSP00000000985	ENSMUST00000000985	ENSMUSG00000000959	Oxa1l
ENSMUSP00000001002	ENSMUST00000001002	ENSMUSG00000000976	Heatr6
ENSMUSP00000001008	ENSMUST00000001008	ENSMUSG00000000982	Ccl3
ENSMUSP00000001009	ENSMUST00000001009	ENSMUSG00000000983	Wfdc18
ENSMUSP00000001027	ENSMUST00000001027	ENSMUSG00000063558	Aox1
ENSMUSP00000001036	ENSMUST00000001036	ENSMUSG00000032175	Tyk2
